"type.name","team.name","player.name","duration","possession_team.name","location.x","location.y","shot.statsbomb_xg","pass.length","pass.angle","pass.cross","pass.switch","pass.end_location.x","pass.end_location.y","pass.recipient.name","pass.outcome.name","carry.end_location.x","carry.end_location.y"
"Ball Receipt*","Málaga","Carlos Manuel de Oliveira Magalhães",NA,"Málaga",39.9,8.90000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Carlos Manuel de Oliveira Magalhães",0.04,"Málaga",39.9,8.90000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,8.90000000000001
"Pass","Málaga","Carlos Manuel de Oliveira Magalhães",2.475979,"Málaga",40.8,8.90000000000001,NA,35.72394,-0.13477129,NA,NA,76.2,13.7,"Márcio Amoroso dos Santos","Incomplete",NA,NA
"Ball Receipt*","Málaga","Márcio Amoroso dos Santos",NA,"Málaga",74,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Oleguer Presas Renom",1.474019,"Málaga",44.8,65.3,NA,13.668211,0.28935447,NA,NA,57.9,61.4,"Xavier Hernández Creus","Incomplete",NA,NA
"Duel","Málaga","Márcio Amoroso dos Santos",0,"Málaga",76.2,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Receipt*","Barcelona","Xavier Hernández Creus",NA,"Málaga",54.7,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Recovery","Málaga","Miguel Ángel Lozano Ayala",0,"Málaga",63.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Miguel Ángel Lozano Ayala",2.362802,"Málaga",63.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6,29.9
"Pressure","Barcelona","Xavier Hernández Creus",1.237709,"Málaga",54.2,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Miguel Ángel Lozano Ayala",0.608,"Málaga",58.6,29.9,NA,8.13941,2.3127437,NA,NA,53.1,23.9,"Juan Jesús Gutiérrez Robles",NA,NA,NA
"Pressure","Barcelona","Samuel Eto""o Fils",1.685226,"Málaga",66.7,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Receipt*","Málaga","Juan Jesús Gutiérrez Robles",NA,"Málaga",53.1,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Juan Jesús Gutiérrez Robles",1.767772,"Málaga",53.1,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,25.2
"Foul Committed","Barcelona","Samuel Eto""o Fils",0,"Málaga",62.9,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foul Won","Málaga","Juan Jesús Gutiérrez Robles",0,"Málaga",58.1,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
